ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
2232 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1954,0.1175,5120,928,0.18125,,928,
2041 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2752,0.5375,800,1302,
1503 SE HARRISON ST,DUPLEX,1,1923,0.14,6100,2253,0.369344262,,1007,
2114 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1175,5120,4188,0.81796875,1456,1508,
1649 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1930,0.1175,5120,3700,0.72265625,1320,1380,
1341 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1924,0.0753,3280,2099,0.639939024,728,938,
1953 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1165,5074,2508,0.494284588,884,944,
2305 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.079,3440,2026,0.588953488,1000,1026,
1636 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,2,1913,0.1469,6400,5614,0.8771875,1292,1534,
1721 SE ELLIOTT AVE # 1725,DUPLEX,1,1949,0.2057,8960,2996,0.334375,1000,1996,
2311 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.0771,3360,1734,0.516071429,816,918,
1716 SE ELLIOTT AVE # 1718,DUPLEX,2,1944,0.1337,5824,2860,0.491071429,936,1424,
1976 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2624,0.5125,840,944,
1905 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1246,5428,2820,0.519528371,896,1000,
1526 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,707,0.138085938,,707,
2111 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1165,5074,2456,0.484036263,672,816,
2009 SE LARCH AVE # 2015,DUPLEX,1,1925,0.1165,5074,2720,0.53606622,680,1428,
2005 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1171,5100,3676,0.720784314,1092,1092,
1974 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1165,5074,2980,0.587307844,1128,1128,
1844 SE HAWTHORNE BLVD # 1864,COMMERCIAL,0,1927,0.1474,6421,5964,0.928827285,,5964,
1838 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1910,0.1328,5785,4651,0.803975799,1394,1570,
2306 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.079,3440,2332,0.677906977,936,1092,
1752 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1932,0.1175,5120,2416,0.471875,960,1136,
